age,qx,lx,dx,Lx,Tx,ex,sex,year
115.0,0.79799,0.0,0.0,0.0,0.0,0.74,F,1900
116.0,0.83363,0.0,0.0,0.0,0.0,0.69,F,1900
117.0,0.87066,0.0,0.0,0.0,0.0,0.64,F,1900
118.0,0.90919,0.0,0.0,0.0,0.0,0.6,F,1900
119.0,0.94927,0.0,0.0,0.0,0.0,0.55,F,1900
1.0,0.02284,87994.0,2010.0,86989.0,5527844.0,62.82,M,1910
2.0,0.01104,85984.0,949.0,85510.0,5440855.0,63.28,M,1910
3.0,0.00833,85035.0,709.0,84681.0,5355346.0,62.98,M,1910
4.0,0.0058,84327.0,489.0,84082.0,5270665.0,62.5,M,1910
5.0,0.0041,83838.0,343.0,83666.0,5186582.0,61.86,M,1910
6.0,0.00353,83495.0,295.0,83347.0,5102916.0,61.12,M,1910
7.0,0.00283,83200.0,235.0,83082.0,5019569.0,60.33,M,1910
8.0,0.00355,82965.0,294.0,82818.0,4936487.0,59.5,M,1910
9.0,0.00235,82670.0,194.0,82573.0,4853669.0,58.71,M,1910
10.0,0.00216,82476.0,178.0,82387.0,4771096.0,57.85,M,1910
11.0,0.00214,82298.0,176.0,82210.0,4688708.0,56.97,M,1910
12.0,0.00194,82122.0,159.0,82043.0,4606498.0,56.09,M,1910
13.0,0.00218,81963.0,179.0,81874.0,4524456.0,55.2,M,1910
14.0,0.00233,81784.0,190.0,81689.0,4442582.0,54.32,M,1910
15.0,0.00261,81594.0,213.0,81488.0,4360892.0,53.45,M,1910
16.0,0.00284,81381.0,231.0,81266.0,4279405.0,52.58,M,1910
17.0,0.003,81150.0,243.0,81028.0,4198139.0,51.73,M,1910
18.0,0.00352,80907.0,285.0,80764.0,4117111.0,50.89,M,1910
19.0,0.0037,80622.0,298.0,80472.0,4036347.0,50.07,M,1910
20.0,0.00374,80323.0,300.0,80173.0,3955874.0,49.25,M,1910
21.0,0.00381,80023.0,304.0,79871.0,3875701.0,48.43,M,1910
22.0,0.00356,79719.0,284.0,79577.0,3795830.0,47.62,M,1910
23.0,0.00359,79434.0,285.0,79292.0,3716254.0,46.78,M,1910
24.0,0.00374,79149.0,296.0,79002.0,3636962.0,45.95,M,1910
25.0,0.00379,78854.0,299.0,78704.0,3557960.0,45.12,M,1910
26.0,0.00396,78555.0,311.0,78399.0,3479256.0,44.29,M,1910
27.0,0.00385,78244.0,301.0,78093.0,3400857.0,43.47,M,1910
28.0,0.00341,77943.0,265.0,77810.0,3322764.0,42.63,M,1910
29.0,0.00331,77677.0,257.0,77549.0,3244954.0,41.77,M,1910
30.0,0.0034,77420.0,263.0,77289.0,3167405.0,40.91,M,1910
31.0,0.00345,77157.0,266.0,77024.0,3090117.0,40.05,M,1910
32.0,0.00353,76891.0,272.0,76755.0,3013093.0,39.19,M,1910
33.0,0.00358,76619.0,275.0,76482.0,2936338.0,38.32,M,1910
34.0,0.00375,76345.0,286.0,76202.0,2859855.0,37.46,M,1910
35.0,0.00411,76059.0,313.0,75903.0,2783653.0,36.6,M,1910
36.0,0.00372,75746.0,282.0,75606.0,2707751.0,35.75,M,1910
37.0,0.00381,75465.0,287.0,75321.0,2632145.0,34.88,M,1910
38.0,0.00399,75177.0,300.0,75027.0,2556824.0,34.01,M,1910
39.0,0.00415,74877.0,310.0,74722.0,2481797.0,33.14,M,1910
40.0,0.00436,74567.0,325.0,74405.0,2407075.0,32.28,M,1910
41.0,0.00486,74242.0,361.0,74062.0,2332670.0,31.42,M,1910
42.0,0.00519,73881.0,383.0,73689.0,2258609.0,30.57,M,1910
43.0,0.00559,73498.0,411.0,73292.0,2184919.0,29.73,M,1910
44.0,0.00567,73087.0,415.0,72880.0,2111627.0,28.89,M,1910
45.0,0.00617,72673.0,448.0,72448.0,2038747.0,28.05,M,1910
46.0,0.00681,72224.0,492.0,71978.0,1966299.0,27.22,M,1910
47.0,0.0075,71733.0,538.0,71464.0,1894320.0,26.41,M,1910
48.0,0.00817,71195.0,582.0,70904.0,1822857.0,25.6,M,1910
49.0,0.00913,70613.0,645.0,70291.0,1751953.0,24.81,M,1910
50.0,0.01033,69968.0,723.0,69607.0,1681662.0,24.03,M,1910
51.0,0.01104,69246.0,764.0,68864.0,1612055.0,23.28,M,1910
52.0,0.01228,68482.0,841.0,68061.0,1543191.0,22.53,M,1910
53.0,0.01335,67641.0,903.0,67189.0,1475130.0,21.81,M,1910
54.0,0.01412,66738.0,942.0,66267.0,1407940.0,21.1,M,1910
55.0,0.0152,65796.0,1000.0,65296.0,1341674.0,20.39,M,1910
56.0,0.01676,64796.0,1086.0,64253.0,1276378.0,19.7,M,1910
57.0,0.01804,63710.0,1149.0,63135.0,1212125.0,19.03,M,1910
58.0,0.02036,62560.0,1274.0,61924.0,1148990.0,18.37,M,1910
59.0,0.02185,61287.0,1339.0,60617.0,1087067.0,17.74,M,1910
60.0,0.02348,59948.0,1407.0,59244.0,1026450.0,17.12,M,1910
61.0,0.02473,58541.0,1448.0,57817.0,967205.0,16.52,M,1910
62.0,0.02704,57093.0,1544.0,56321.0,909389.0,15.93,M,1910
63.0,0.02852,55550.0,1584.0,54757.0,853067.0,15.36,M,1910
64.0,0.0297,53965.0,1603.0,53164.0,798310.0,14.79,M,1910
65.0,0.03122,52363.0,1635.0,51545.0,745146.0,14.23,M,1910
66.0,0.03341,50728.0,1695.0,49881.0,693600.0,13.67,M,1910
67.0,0.03514,49033.0,1723.0,48172.0,643720.0,13.13,M,1910
68.0,0.03771,47310.0,1784.0,46418.0,595548.0,12.59,M,1910
69.0,0.03964,45526.0,1805.0,44624.0,549130.0,12.06,M,1910
70.0,0.04312,43721.0,1885.0,42779.0,504506.0,11.54,M,1910
71.0,0.04553,41836.0,1905.0,40884.0,461727.0,11.04,M,1910
72.0,0.04792,39932.0,1914.0,38975.0,420843.0,10.54,M,1910
73.0,0.05286,38018.0,2010.0,37013.0,381868.0,10.04,M,1910
74.0,0.05641,36009.0,2031.0,34993.0,344855.0,9.58,M,1910
75.0,0.06095,33978.0,2071.0,32942.0,309862.0,9.12,M,1910
76.0,0.06523,31907.0,2081.0,30866.0,276920.0,8.68,M,1910
77.0,0.06982,29825.0,2082.0,28784.0,246054.0,8.25,M,1910
78.0,0.0754,27743.0,2092.0,26697.0,217270.0,7.83,M,1910
79.0,0.07903,25651.0,2027.0,24638.0,190572.0,7.43,M,1910
80.0,0.08448,23624.0,1996.0,22626.0,165935.0,7.02,M,1910
81.0,0.09042,21628.0,1956.0,20651.0,143308.0,6.63,M,1910
